title,subtitle,author,reads,votes,comments,text
My Immortal Commentary,Chapters 1-5,jyushiimatsuno,17,0,2,"Chapter 1.AN: Special fangz (get it, coz Im goffik) No. 2 my gf (ew not in that way) raven, I spy with my little eye a homophobe. bloodytearz666 4 helpin me wif da story and spelling. U rok! Justin ur da luv of my deprzzing life u rok 2! MCR ROX!XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX Hate to break it to ya honey, but that's not how you separate chapters and ANs.Hi my name is Ebony Dark'ness Dementia Raven Way and I have long ebony black hair Redundancy much? (that's how I got my name) with purple streaks and red tips that reaches my mid-back and icy blue eyes like limpid tears and a lot of people tell me I look like Amy Lee (AN: if u don't know who she is get da hell out of here!). I'm not related to Gerard Way but I wish I was because he's a major fucking hottie. I don't even know where to begin on that last sentence. I'm a vampire but my teeth are straight and white. Stop fucking lyin'.. I have pale white skin. I'm also a witch, and I go to a magic school called Hogwarts in England HOGWARTS IS IN SCOTLAND where I'm in the seventh year (I'm seventeen). I'm a goth (in case you couldn't tell) and I wear mostly black. Wow, really? I love Hot Topic and I buy all my clothes from there. For example today I was wearing a black corset with matching lace around it and a black leather miniskirt, pink fishnets and black combat boots. I was wearing Nobody gives a shit. black lipstick, white foundation, black eyeliner and red eye shadow. I was walking outside Hogwarts. It was snowing and raining Hailing or sleeting, basically. Get your ass back inside. so there was no sun, which I was very happy about. A lot of preps stared at me. I put up my middle finger at them.""Hey Ebony!"" shouted a voice. I looked up. It was.... Draco Malfoy! Why the elipse?""What's up Draco?"" I asked.""Nothing."" he said shyly.But then, I heard my friends call me and I had to go away.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX No.AN: IS it good? PLZ tell me fangz! This fic is one of those things that's so shitty that it's good.Chapter 2.AN: Fangz 2 bloodytearz666 4 helpin me wif da chapta! BTW preps stop flaming ma story ok!XXXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXXXXXXThe next day I woke up in my bedroom. It was snowing and raining again. I opened the door of my coffin and drank some blood from a bottle I had. My coffin was black ebony and inside it was hot pink velvet Later in the story though, Enoby claims she hates pink. with black lace on the ends. I got out of my coffin and took of my giant MCR t-shirt which I used for pajamas. Instead, I put on a black leather dress, a pentagram necklace, combat boots and black fishnets on. I put on four pairs of earrings in my pierced ears, and put my hair in a kind of messy bun. In a kind of messy bun.My friend, Willow (AN: Raven dis is u!) woke up then and grinned at me. She flipped her long waist-length raven black hair with pink streaks and opened her forest-green eyes. She put on her Marilyn Manson t-shirt with a black mini, fishnets and pointy high-heeled boots. We put on our makeup (black lipstick white foundation and black eyeliner.) Please stop describing clothes so damn much.""OMFG, I saw you talking to Draco Malfoy yesterday!"" she said excitedly.""Yeah? So?"" I said, blushing.""Do you like Draco?"" she asked as we went out of the Slytherin common room and into the Great Hall.""No I so fucking don't!"" I shouted. Which means you do. Come one Enoby, we read enough fics to know."
"My immortal, the commentary",Chapter 2,Monkee66,29,1,2," AN: Fangz 2 bloodytearz666 4 helpin me wif da chapta! BTW preps stop flaming ma story ok! But it's so much fun!!!! XXXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXXXXXXThe  next day I woke up in my bedroom. Where did you think you were going to wake up? On top of the roof? It was snowing and raining again. That is called sleet! Where you trying to make a word count or something? I  opened the door of my coffin and drank some blood from a bottle I had.  I'm pretty sure blood has to be in the fridge if it's not going to be used right away.  My coffin was black ebony and inside it was hot pink velvet with black  lace on the ends. That screams GOTH....not. I got out of my coffin and took of my giant MCR You should say 'My Chemical Romance' at this point in case there are people out there who don't know.    t-shirt which I used for pajamas. Instead, I put on a black leather  dress, I found a black leather pencil skirt once at a store. I tried it on and it was uncomfortable. How can you wear a dress made out of it? I'll stick with leather jackets.  a pentagram necklace, combat boots and black fishnets on. So you dressed like a hooker? I put  on four pairs of earrings in my pierced ears, and put my hair in a kind  of messy bun.My friend, Willow (AN: Raven dis is u! Random friend shout out time! ) woke up  then and grinned at me. She flipped her long waist-length raven black  hair with pink streaks and opened her forest-green eyes. Back up. She grinned at you, flipped her hair, THEN opened her eyes....creepy. She put on her  Marilyn Manson Fun fact, Marilyn Manson came up with his stage name from Marilyn Monroe and 60s killer Charles Manson.   t-shirt with a black mini, fishnets and pointy  high-heeled boots. We put on our makeup (black lipstick white foundation  and black eyeliner.) Is the makeup you're wearing important to the story? If it's not, then don't mention it. ""OMFG, Again, spell it out for people who don't know what this stands for. I saw you talking to Draco Malfoy yesterday!"" she said excitedly.""Yeah? So?"" I said, blushing.""Do you like Draco?"" she asked as we went out of the Slytherin common room and into the Great Hall. By the way she wrote this it sounds like the Slytherin common room opens right into the Great Hall.""No I so fucking don't!"" I shouted. I think there should be a comma after No. Or an exclamation point. ""Yeah right!"" she exclaimed. Just then, Draco walked up to me.""Hi."" he said.""Hi."" I replied flirtily. I just looked it up flirtily is a word, but how do you say 'hi' in a flirtily way? ""Guess what."" he said.""What?"" I asked.""Well, Good Charlotte are having a concert in Hogsmeade."" he told me. Why would a muggle band be playing in a all magical village? Or is Good Charlotte now a wizard band? Also, how would DRACO MALFOY know muggle bands?! ""Oh. My. Fucking. God!"" I screamed. I think Malfoy just lost his hearing. I love GC. They are my favorite band, besides MCR.""Well.... do you want to go with me?"" he asked.I gasped. There we go chapter two done. Only nine hundred and ninety nine thousand to go. "
Everything Wrong With My Immortal,Chapter Two,FFSins,49,3,1,"Chapter 2.AN: Fangz 2 bloodytearz666 (This Raven?) 4 helpin me wif da chapta! BTW preps stop flaming ma story ok! (No thanks. This is too fun!)The next day I woke up in my bedroom. It was snowing and raining again. (Sleet!!) I opened the door of my coffin and drank some blood from a bottle I had. (And you just randomly have a bottle of blood. Seems legit) My coffin was black ebony and inside it was hot pink velvet (forgive me if I'm wrong, but I'm not sure a typical goth color is hot pink.) with black lace on the ends. I got out of my coffin and took of my giant MCR t-shirt which I used for pajamas. (Only sensible thing this girl does) Instead, I put on a black leather (oof, leather? I'd just wear that MCR shirt the whole day.) dress, a pentagram necklace, combat boots and black fishnets on. I put on four pairs of earrings 4 piercings? (Ok good. I'm sure the author will remember that.)  in my pierced ears, and put my hair in a kind of messy bun.My friend, Willow (AN: Raven dis is u! (Someone's nice to her friends.)) woke up then and grinned at me. She flipped her long waist-length raven black hair with pink streaks and opened her forest-green eyes. (Let me get this straight: She grinned, flipped her hair, and then opened her eyes? God, why?) She put on her Marilyn Manson t-shirt with a black mini, fishnets and pointy high-heeled boots. We put on our makeup (black lipstick white foundation and black eyeliner.) (Did not need the clothing description.)""OMFG, I saw you talking to Draco Malfoy yesterday!"" she said excitedly. (Ok, why is that cause for excitement? I talk to a lot of boys everyday)""Yeah? So?"" I said, blushing.""Do you like Draco?"" she asked as we went out of the Slytherin common room and into the Great Hall.""No I so fucking don't!"" I shouted. (Then why were you blushing?)""Yeah right!"" she exclaimed. Just then, Draco walked up to me.""Hi."" he said.""Hi."" I replied flirtily. (*sigh* this author. She just said she doesn't like him. Choose a side.)""Guess what."" he said.""What?"" I asked.""Well, Good Charlotte are having a concert in Hogsmeade."" he told me.""Oh. My. Fucking. God!"" I screamed. I love GC. They are my favorite band, besides MCR. (I...I don't think MCR is a goth band. Maybe GC but not MCR. MCR is emo.""Well.... do you want to go with me?"" he asked.I gasped. (What a cliffhanger.)Hey again,2 chapter done. 42 chapters left. Then, we'll see. Have another fanfic you want us to sin? Comment or message.Sin Tally For MI So Far:40No fanfic is without sin"
My Immortal with Commentary,Chapter 8.,VioletKingston,616,39,68,"AN: stop flassing ok! if u do den u r a prep!Yay! We're all preps! Still better than being associated with people like Ebony.XXXXXXXXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXEveryone in the class stared at meI just realized that if these people are all in class, Draco and Mary Sue are supposed to be, too! Detention, or no, black quill!and then Draco came into the room even though he was naked and started begging me to take him back.""Ebony, it's not what you think!"" Draco screamed sadly.My friend B'loody Mary Smith smiled at me understatedly.Another name with an inexplicable apostrophe.She flipped her long waste-length gothic black hair and opened her crimson eyes like blood that she was wearing contact lenses on. She had pale white skin that she was wearing white makeup on. Hermione was kidnapped when she was born. Her real parents are vampires and one of them is a witch but Voldemort killed her mother and her father committed suicide because he was depressed about it. She still has nightmares about it and she is very haunted and depressed. It also turns out her real last name is Smith and not Granger. (Since she has converted to Satanism she is in Slytherin now not Griffindoor. )And now she ruined Hermione by giving her a shitty backstory and removing all of her personality.""What is it that you desire, you ridiculous dimwit!"" Snape demeaned angrily in his cold voice but I ignored him.That's my new favorite insult: ridiculous dimwit.""Vampire, I can't believe you cheated on me with Draco!"" I shouted at him.Everyone gasped.Because Draco cheated on Ebony or because he's naked?I don't know why Ebony was so mad at me. I had went out with Vampire (I'm bi and so is Ebony) for a while but then he broke my heart. He dumped me because he liked Britney, a stupid preppy fucker. We were just good friends now. He had gone through horrible problems, and now he was gothic. (Haha, like I would hang out with a prep.)Go Britney! Also, why the POV change all of a sudden?""But I'm not going out with Draco anymore!"" said Vampire.""Yeah fucking right! Fuck off, you bastard!"" I screamed. I ran out of the room and into the Forbidden Forest where I had lost my virility to Draco and then I started to bust into tears.  Virility! That has to be one of the funniest typos yet!"
"My immortal, the commentary",Chapter 3,Monkee66,23,2,5," Chapter 3.AN: STOP FLAMMING DA STORY PREPZ OK! odderwize Odderwize? It's otherwise learn how to spell. fangs 2  da goffik ppl 4 da good reveiws! FANGS AGEN RAVEN! oh yeah, BTW I don't  own dis or da lyrics 4 Good Chralotte.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXOn  the night of the concert I put on my black lace-up boots with high  heels. I had boots like that once, they were combat boots...they were my sisters but she gave them to me, I loved them, mom did not though. Underneath them were ripped red fishnets. Why are you wearing ripped fishnets? Then I put on a black  leather minidress with all this corset stuff Does she mean lace? Now I have Stevie Nicks and Don Henley's song 'Leather and lace' going through my head. I like that song. on the back and front. I  put on matching fishnet on my arms. No, you ether put matching fishnets on you arms or you put matching fishnets on. I straightened my hair and made it  look all spiky. Okay, I'll let her have this one...maybe she was trying different styles? Or maybe not because how do you make long hair look spiky? Did she get a hair cut? I felt a little depressed then, so I slit one of my  wrists. Don't cut yourself! It's very bad! I read a depressing book while I waited for it to stop bleeding But, you're a vampire....you don't bleed, unless you have prophyria  and I listened to some GC. I painted my nails black and put on TONS of  black eyeliner. Then I put on some black lipstick. I didn't put on  foundation because I was pale anyway. I drank some human blood Yummy so I was  ready to go to the concert.I went outside. Draco was waiting  there in front of his flying car. I didn't know Draco had a flying car...when did he get that? He was wearing a Simple Plan t-shirt  (they would play at the show too), You don't need parentheses AND commas baggy black skater pants, black nail  polish and a little eyeliner (AN: A lot fo kewl boiz wer it ok!). Name one cool guy who where it. ""Hi Draco!"" I said in a depressed voice. I greeted him sadly would be better.""Hi  Ebony."" he said back. We walked into his flying black Mercedes-Benz were you not paying attention to where you where going or what?    (the license plate said 666) I'd like mine to say KAZ-2Y5 and flew to the place with the concert. On  the way we listened excitedly to Good Charlotte and Marilyn Manson. We  both smoked cigarettes and drugs. When we got there, we both hopped out  of the car. We went to the mosh pit at the front of the stage and jumped  up and down as we listened to Good Charlotte.""You come in cold, you're covered in bloodThey're all so happy you've arrivedThe doctor cuts your cord, hands you to your momShe sets you free into this life."" sang Joel (I don't own da lyrics 2 dat song).""Joel is so fucking hot."" I said to Draco, pointing to him as he sung, filling the club with his amazing voice. That sentence makes it sound like Draco was singing.Suddenly Draco looked sad. My father will hear about this.  ""What's wrong?"" I asked as we moshed to the music.  Well lets see...you're talking about how hot a singer is ON A DATE WITH A GUY YOU HAVE HAD A CRUSH ON!!!! Then I caught on.""Hey, it's ok I don't like him better than YOU!"" I said.""Really?"" asked Draco sensitively Draco is not sensitive....he gave Katie Bell a cursed necklace and he put his arm around me all protective.""Really.""  I said. ""Besides I don't even know Joel and he's going out with Hilary  fucking Duff. I fucking hate that little bitch."" WOW, there are actors I hate but I don't call them bitches. Jezz, what did Hilary Duff do to you....steal Joel from you? Oh, you never had him! I said disgustedly,  thinking of her ugly blonde face. The night went on really well,  and I had a great time. So did Draco. After the concert, we drank some  beer Underage drinking, and wizards don't have beer, they have fire whisky. and asked Benji and Joel for their autographs and photos with them.  We got GC concert tees. Draco and I crawled Crawled? You must've been hammered. back into the  Mercedes-Benz, but Draco didn't go back into Hogwarts, instead he drove  the car into........................... the Forbidden Forest! That's why you don't drink and drive!! So, what do you think so far? I'm trying to be funny with this but I don't know...am I? Please leave a comment and tell me what you think. "
My Immortal with Commentary,Chapter 2.,VioletKingston,899,45,103,"AN: Fangz 2 bloodytearz666 4 helpin me wif da chapta! BTW preps stop flaming ma story ok!Screw the goffs! Go Prep Army!XXXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXXXXXXThe next day I woke up in my bedroom. It was snowing and raining again. I opened the door of my coffin and drank some blood from a bottle I had.So you keep blood in your coffin?My coffin was black ebony and inside it was hot pink velvet with black lace on the ends.Your coffin is almost as big a Mary Sue as you, Ebony.I got out of my coffin and took of my giant MCR t-shirt which I used for pajamas. Instead, I put on a black leather dress, a pentagram necklace, combat boots and black fishnets on. I put on four pairs of earrings in my pierced ears, and put my hair in a kind of messy bun.Nobody cares about your character's clothes.My friend, Willow (AN: Raven dis is u!) woke up then and grinned at me. She flipped her long waist-length raven black hair with pink streaks and opened her forest-green eyes. She put on her Marilyn Manson t-shirt with a black mini, fishnets and pointy high-heeled boots. We put on our makeup (black lipstick white foundation and black eyeliner.)Nobody cares about Willow's clothes.""OMFG, I saw you talking to Draco Malfoy yesterday!"" she said excitedly.""Yeah? So?"" I said, blushing.""Do you like Draco?"" she asked as we went out of the Slytherin common room and into the Great Hall.Since when were these locations next to each other?""No I so fucking don't!"" I shouted.""Yeah right!"" she exclaimed. Just then, Draco walked up to me.""Hi."" he said.""Hi."" I replied flirtily.""Guess what."" he said.""What?"" I asked.""Well, Good Charlotte are having a concert in Hogsmeade."" he told me.Muggle bands? In Hogsmeade? Wait until Draco's father hears about this!""Oh. My. Fucking. God!"" I screamed. I love GC. They are my favorite band, besides MCR. ""Well.... do you want to go with me?"" he asked.What? Draco would never go to a muggle concert!I gasped*Le gasp intensifies"
My Immortal Commentary,Chapters 6-10,jyushiimatsuno,16,0,1,"AN: shjt up prepz ok! PS I wnot update ubtil u give me goood revows! It seems like Raven didn't even try to correct the story.XXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXThe next day I woke up in my coffin. I put on a black miniskirt that was all ripped around the end and a matching top with red skulls all over it and high heeled boots that were black. I put on two pairs of skull earrings, and two crosses in my ears. But crosses can kill vampires, Enoby. I spray-painted my hair with purple.In the Great Hall, I ate some Count Chocula cereal with blood instead of milk How the fuck do you get away with that?, and a glass of red blood. Suddenly someone bumped into me. All the blood spilled over my top.""Bastard!"" I shouted angrily. I regretted saying it when I looked up cause I was looking into the pale white face of a gothic boy with spiky black hair with red streaks in it. He was wearing so much eyeliner that I was going down his face and he was wearing black lipstick. He didn't have glasses anymore and now he was wearing red contact lenses just like Draco's and there was no scar on his forhead anymore. Scars don't disappear completely. He had a manly stubble on his chin. He had a sexy English accent. He looked exactly like Joel Madden. He was so sexy that my body went all hot when I saw him kind of like an erection only I'm a girl so I didn't get one you sicko. Why do you word this so poorly?""I'm so sorry."" he said in a shy voice.""That's all right. What's your name?"" I questioned.""My name's Harry Potter, although most people call me Vampire these days."" he grumbled. Angsty teen trope much?""Why?"" I exclaimed. That shouldn't even be a question. People call him Vampire cause he's a fucking vampire.""Because I love the taste of human blood."" he giggled. What's funny about that?""Well, I am a vampire."" I confessed.""Really?"" he whimpered.""Yeah."" I roared. I just imagined that lion that appears before really old Warner Bros. cartoons because of the way you used 'roared'.We sat down to talk for a while. Then Draco came up behind me and told me he had a surprise for me so I went away with him. Us fanfic readers know where this is going.Chapter 7. Bring me 2 lifeAN: wel ok u guyz im only writting dis cuz I got 5 god reviuws. n BTW I wont rite da nxt chapter til I git TIN god vons! STO FLAMING OR ILL REPORT U! Evony isn't a Marie Sue MARY Sue, not MARIE Sue. Marie is the middle name of Elvis Presley's daughter and Lisa Simpson. ok she isn't perfect SHES A SATANITS! I think you mean Satanism. Satanitsm doesn't exist. n she has problemz shes depressed 4 godz sake!XXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXZXXXXXXXXXXXXXDraco and I held our pale white hands with black nail polish as we went upstairs. I was wearing red Satanist sings on my nails in red nail polish (AN: c doez dat sound lik a Maru Sue 2 u? Not all Mary Sues are 'preps'.). I waved to Vampire. Dark misery was in his depressed eyes. Trying too hard. I guess he was jealous of me that I was going out with Draco. Anyway, I went upstairs excitedly with Draco. We went into his room and locked the door. Then............ Oh God no.We started frenching passively So neither of you are reacting. and we took off each others clothes enthusiastically. He felt me up before I took of my top. Then I took off my black leather bra and he took off his pants. We went on the bed and started making out naked and then he put his boy's thingy in mine and we HAD SEX. (c is dat stupid? It is, Tara.)"
Everything Wrong With My Immortal,Chapter 4,FFSins,31,2,4,"Chapter 4.AN: I sed stup flaming ok ebony's name is ENOBY(Wait, her name's Enoby now?) nut mary su (Do you even know what a Mary Sue is? If so, you'd know) OK! DRACO IS SOO IN LUV wif her dat he is acting defrent! (Like a love sick slave?) dey nu eechodder b4 ok!XXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXX""DRACO!"" I shouted. ""What the fuck do you think you are doing?"" (Good question. Why are you kidnapping her?)Draco didn't answer but he stopped the flying car and he walked out of it. I walked out of it too, curiously.(How do you do something curiously? Do you twist your body into a question mark? How do you even do that?)""What the fucking hell?"" I asked angrily. (We already got that you were angry)""Ebony?"" he asked.""What?"" I snapped.Draco leaned in extra-close and I looked into his gothic red eyes (of course) (he was wearing color contacts(gods forbid his eyes would ever be a different color than red) )which revealed so much depressing sorrow and evilness and then suddenly I didn't feel mad anymore. (1. How can you see that when he's wearing contacts. 2. If his eyes are filled with evilness, shouldn't you be scared?)And then............... (again with the elipses! 3 dots not 16! Do you grammar woman! On second thought, I shouldn't say that. It's clear she does not.) suddenly just as I (these 4 words make negative amounts of sense) Draco kissed me passionately. Draco climbed on top of me and we started to make out keenly against a tree. (But weren't they near the car? They seriously walked to a tree to make out instead of on the car. Unconcivible!) He took of my top and I took of his clothes. I even took of my bra. (*gasp!* even took off her bra! Amazing! Good job Draco, you're only the 1,000th person to be able to do that! *giggles* God this is fun!) Then he put his thingie into my you-know-what and we did it for the first time. (*clap. Clap. Clap.* best description of sex ever. Also, I might believe that Draco's a virgin, but not Ebony.)""Oh! Oh! Oh! "" I screamed. I was beginning to get an orgasm. (In two seconds?) We started to kiss everywhere (really? Ebony is actually a contortionist! I was right!) and my pale (not orange, pale. She's a pale, Satanist Trump. They're both equally annoying.) body became all warm. And then....(Almost got it Tara, one less dot!)""WHAT THE HELL ARE YOU DOING YOU MOTHERFUKERS!"" (I'd say it's pretty obvious.)It was............................................................(No! You were doing so well! 3 dots!) Dumbledore! (Probably the only time she spells it right in the story.)Sin tally for MI: 86No fanfic is without sin"
My Immortal with Commentary,Chapter 1.,VioletKingston,1.3K,54,130,"I do not own Harry Potter or this fanfic! Harry Potter belongs to J.K. Rowling. Also, PG13 because of swearing, smoking, doing drugs, cutting and bad sex scenes.AN: Special fangz (get it, coz Im goffik) 2 my gf (ew not in that way) raven, bloodytearz666 4 helpin me wif da story and spelling. U rok! Justin ur da luv of my deprzzing life u rok 2! MCR ROX!The spelling! My eyes! Did Raven really help you, or did you make that up? Maybe Raven's her imaginary friend?Also, what's ""ew"" about a girl having a girlfriend in ""that way""? You're ew! Sorry, I'm just easily offended.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXHi my name is Ebony Dark'ness Dementia Raven WayThat's a Mary Sue name.and I have long ebony black hair (that's how I got my name) with purple streaks and red tips that reaches my mid-back and icy blue eyes like limpid tears and a lot of people tell me I look like Amy LeeHer appearance is Mary Sue-ish as well. Also, this is Amy Lee. A big difference between the two is that Amy Lee is fucking gorgeous, whereas Ebony sounds like one of the kids that always smoke in front of my school during breaks.(AN: if u don't know who she is get da hell out of here!).Wish I could, sweetheart.[[I'm not related to Gerard Way but I wish I was because he's a major fucking hottie.Somebody here has a celebrity crush! Ebony must also not know that it's wrong to date family.I'm a vampire but my teeth are straight and white. I have pale white skin. I'm also a witch, and I go to a magic school called Hogwarts in EnglandNo. No... She's going to ruin Harry Potter!And isn't Hogwarts in Scotland?where I'm in the seventh year (I'm seventeen). I'm a goth (in case you couldn't tell)No shit Sherlock.and I wear mostly black. I love Hot Topic and I buy all my clothes from there.So, that's her OC, or rather, her NO-C.For example today I was wearing a black corset with matching lace around it and a black leather miniskirt, pink fishnets and black combat boots. I was wearing black lipstick, white foundation, black eyeliner and red eye shadow.Nobody is interested in what you're wearing.I was walking outside Hogwarts. It was snowing and raining so there was no sun, which I was very happy about. A lot of preps stared at me.I already like the preps.I put up my middle finger at them.""Hey Ebony!"" shouted a voice. I looked up. It was.... Draco Malfoy!""What's up Draco?"" I asked.""Nothing."" he said shyly.Draco is not shy. Also, what a meaningful conversation!But then, I heard my friends call me and I had to go away.This thing has friends?! There's more of her?!XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXAN: IS it good? PLZ tell me fangz!Please put your ""fangz"" through my throat and kill me now."
My Immortal Commentary (Bit late I know),Chapters 1-2 (Send Help),FrankieEllor7,21,2,1,"We've all expierenced the darker side of the internet right? Some of us will have read FanFiction and experienced the Mary Sue or Garry Stu characters that can sometimes appear. So my friends I thought what better way to start than to commentate one of the most infamous FanFictions of all time.My Immortal by Tara GilesbieChapter 1.AN: Special fangz (get it, coz Im goffik) 2 my gf (ew not in that way) raven, bloodytearz666 4 helpin me wif da story and spelling. U rok! Justin ur da luv of my deprzzing life u rok 2! MCR ROX!Goffick? Do you mean you're Gothic or are you identifying as some kind of creature?You have spelt with 'wiff' -_-Huge congrats to Justin, gold star for youHi my name is Ebony Dark'ness Dementia Raven Way and I have long ebony black hair (that's how I got my name) with purple streaks and red tips that reaches my mid-back and icy blue eyes like limpid tears and a lot of people tell me I look like Amy Lee (AN: if u don't know who she is get da hell out of here!). Ebony Darkness Dementia Raven Way -_-Not to sure about the hair choicesI'm not related to Gerard Way but I wish I was because he's a major fucking hottie.Incest?I'm a vampire but my teeth are straight and white. I have pale white skin. I'm also a witch, and I go to a magic school called Hogwarts in England where I'm in the seventh year (I'm seventeen).I'm a goth (in case you couldn't tell) and I wear mostly black.She's a goth. A gothic vampire witch...fuck offI love Hot Topic and I buy all my clothes from there. For example today I was wearing a black corset with matching lace around it and a black leather miniskirt, pink fishnets and black combat boots. I was wearing black lipstick, white foundation, black eyeliner and red eye shadow. I was walking outside Hogwarts. It was snowing and raining so there was no sun, which I was very happy about. You are telling me that you are walking OUTSIDE in a miniskirt and corset whilst it's snowing! Go inside you bloody idiot.A lot of preps stared at me. I put up my middle finger at them.What a savage""Hey Ebony!"" shouted a voice. I looked up. It was.... Draco Malfoy!""What's up Draco?"" I asked.Didn't you just flip him and his group off?""Nothing."" he said shyly.Pretty sure Draco is a cocky little shit and never showed the slightest hint of shyness around anyone in Hogwarts. So i guess it's just you Mary SueBut then, I heard my friends call me and I had to go away.AN: IS it good? PLZ tell me fangz!Kill meChapter 2.AN: Fangz 2 bloodytearz666 4 helpin me wif da chapta! BTW preps stop flaming ma story ok!Are you writing in your accent?The next day I woke up in my bedroom. It was snowing and raining again. I opened the door of my coffin and drank some blood from a bottle I had.I'm 110% sure that Dumbledore wouldn't be okay with you having a damn coffin. Vampires are considered bad beings in the wizzarding world so I'm guessing that like with Lupin (who is the fucking bomb) you would be treated as if you were a regular witch. That means sleeping on a bed.My coffin was black ebony and inside it was hot pink velvet with black lace on the ends. I got out of my coffin and took of my giant MCR t-shirt which I used for pajamas. Instead, I put on a black leather dress, a pentagram necklace, combat boots and black fishnets on. I put on four pairs of earrings in my pierced ears, and put my hair in a kind of messy bun.My friend, Willow (AN: Raven dis is u!) woke up then and grinned at me. She flipped her long waist-length raven black hair with pink streaks and opened her forest-green eyes. She put on her Marilyn Manson t-shirt with a black mini, fishnets and pointy high-heeled boots. We put on our makeup (black lipstick white foundation and black eyeliner.)I would like to say that neither MCR or Marilyn Manson would exist in the Wizarding world. They're Muggles.""OMFG, I saw you talking to Draco Malfoy yesterday!"" she said excitedly.OMFG I like totes saw you tlking to that hottie DracoPlease tell me this text talk won't be a regular thing""Yeah? So?"" I said, blushing.""Do you like Draco?"" she asked as we went out of the Slytherin common room and into the Great Hall.Of course you're a Slytherine""No I so fucking don't!"" I shouted.I'm calling BS""Yeah right!"" she exclaimed. Just then, Draco walked up to me.""Hi."" he said.""Hi."" I replied flirtily.Why are you flirting??""Guess what."" he said.""What?"" I asked.""Well, Good Charlotte are having a concert in Hogsmeade."" he told me.Good Charlotte is a Muggle band... you don't care? Nevermind then""Oh. My. Fucking. God!"" I screamed. I love GC. They are my favorite band, besides MCR.""Well.... do you want to go with me?"" he asked.I gasped.A shocking turn of affairs obviouslyApparently that's a cliff hanger"
My Immortal Commentary (Bit late I know),10-12 (3 instead of 2 yay),FrankieEllor7,8,1,0,"Chapter 10.AN: stup it u gay fags if u donot lik ma story den fukk off! ps it turnz out b'loody mary isn't a muggle afert al n she n vampire r evil datz y dey movd houses ok!Oh what do you know! That's a coincidence.I was really scared about Vlodemort all day. I was even upset went to rehearsals with my gothic metal band Bloody Gothic Rose 666.Oh edgy band name to go with my edgy self and edgy car.I am the lead singer of it and I play guitar. People say that we sound like a cross between GC, Slipknot and MCR. The other people in the band are B'loody Mary, Vampire, Draco, Ron (although we call him Diabolo now. He has black hair now with blue streaks in it.) and Hargrid. Ron Weasly is now called Diablo and is in a band called Bloody Gothic Rose 666... I'm done.Only today Draco and Vampire were depressed so they weren't coming and we wrote songs instead. I knew Draco was probably slitting his wrists (he wouldn't die because he was a vampire too and the only way you can kill a vampire is with a c-r-o-s-s (there's no way I'm writing that) or a steak)1)Since when did Draco become a vampire?2) Grow up3)How does a steak (meat) kill vampires?Vampire was probably watching a depressing movie like The Corpse Bride. I put on a black leather shirt that showed off my boobs and tiny matching miniskirt that said Simple Plan on the butt. You might think I'm a slut but I'm really not.Ahhh yes, Corpse Bride the most depressing movie ever.We were singing a cover of 'Helena' and at the end of the song I suddenly bust into tears.Edgy turned up to 1000""Ebony! Are you OK?"" B'loody Mary asked in a concerted voice.""What the fuck do you think?"" I asked angrily. And then I said. ""Well, Voldemort came and the fucking bastard told me to fucking kill Harry! But I don't want to kill him, because, he's really nice, even if he did go out with Draco. But if I don't kill Harry, then Voldemort, will fucking kill Draco!"" I burst into tears.That was an awful lot of F-words.Suddenly Draco jumped out from behind a wall.Draco outta nowhere""Why didn't you fucking tell me!"" he shouted. ""How could you- you- you fucking poser muggle bitch!"" (c is dat out of character?)Nope, not at allI started to cry and cry. Draco started to cry too all sensitive. Then he ran out crying.I'm confusedWe practiced for one more hour. Then suddenly Dumbeldore walked in angrily! His eyes were all fiery and I knew this time it wasn't cause he had a headache.Angry Dumbeldore""What have you done!"" He started to cry wisely. (c dats basically nut swering and dis time he wuz relly upset n u wil c y) ""Ebony Draco has been found in his room. He committed suicide by slitting his wrists.""1) How does one cry wisely2) You just said Draco couldn't die from anything but crosses and stakesChapter 11.AN: i sed stup flaming up prepz! c if dis chaptr is srupid!1111 it delz wit rly sris issus! sp c 4 urself if itz ztupid brw fangz 2 ma frend raven 4 hleping me!"
